Appenzell Rhodes-Extérieures;Bühler;Bühlerer, Bühlerinnen
Fribourg;Bulle;Bullois, Bulloises
Vaud;Bullet;Bullatons, Bullatonnes
Jura;Bure;Burets, Burettes
Berne;Büren an der Aare;Bürener, Bürenerinnen
Uri;Bürglen;Bürgler, Bürglerinnen
Vaud;Bursinel;Bursinelois, Bursineloises
Vaud;Bursins;Bursinois, Bursinoises
Vaud;Burtigny;Burtigniérans, Burtigniéranes
Vaud;Bussigny-près-Lausanne;Bussignolais, Bussignolaises
Vaud;Bussigny-sur-Oron;Cabris
Berne;Busswil bei Büren;Busswiler, Busswilerinnen
Vaud;Bussy-sur-Moudon;Bussinois, Bussinoises
Saint-Gall;Bütschwil;Bütschwiler, Bütschwilerinnen
Schaffhouse;Büttenhardt;Büttenhardter, Büttenhardterinnen
Neuchâtel;Buttes;Butterans, Butteranes
Tessin;Cadenazzo;Cadenazzesi
Tessin;Camorino;Camorinesi
Tessin;Campello;Campellesi
Tessin;Campo (Vallemaggia);Campesi
Tessin;Carona;Caronais, Caronaises
Genève;Carouge;Carougeois, Carougeoises
Vaud;Carrouge;Carrougeois, Carrougeoises
Genève;Cartigny;Cartignois, Cartignoises
Tessin;Castel San Pietro;Castellani
Genève;Céligny;Célignois, Célignoises
Tessin;Cerentino;Cerentini
Fribourg;Cerniat;Cerniatins, Cerniatines
Neuchâtel;Cernier;Eperviers
Tessin;Cevio;Ceviesi
Fribourg;Châbles;Châblois, Châbloises
Valais;Chalais;Chalaisards, Chalaisardes
Zoug;Cham;Chamer, Chamerinnen
Vaud;Chamblon;Chamblonnois, Chamblonnoises
Valais;Chamoson;Chamosards, Chamosardes
Vaud;Champagne;Champagnoux
Valais;Champéry;Champérolains, Champérolaines
Vaud;Champtauroz;Champtauriens, Champtauriennes
Vaud;Champvent;Chanvannais, Chanvannaises
Genève;Chancy;Chancynois, Chancynoises
Valais;Chandolin;Chandolinards, Chandolinardes
Vaud;Chanéaz;Verrats
Vaud;Chapelle-sur-Moudon;Chapelains, Chapelaines
Vaud;Chardonne;Chardonnerets, Chardonnerettes
Fribourg;Charmey;Charmeysans, Charmeysannes
Valais;Charrat;Charratains, Charrataines
Vaud;Château-dOex;Damounais, Damounaises
Fribourg;Châtel-Saint-Denis;Châtelois, Châteloises
Vaud;Châtillens;Châtillannais, Châtillannaises
Vaud;Chavannes-de-Bogis;Chavannus
Vaud;Chavannes-des-Bois;Chavannus
Vaud;Chavannes-le-Chêne;Tsavannais, Tsavannaises
Vaud;Chavannes-près-Renens;Chavannois, Chavannoises
Vaud;Chavannes-sur-Moudon;Chavannois, Chavannoises
Vaud;Chavornay;Chavornaysans, Chavornaysanes
Genève;Chêne-Bougeries;Chênois, Chênoises
Genève;Chêne-Bourg;Chênois, Chênoises
Fribourg;Chénens;Chénensois, Chénensoises
Valais;Chermignon;Chermignonards, Chermignonardes
Vaud;Chesalles-sur-Moudon;Chesallois, Chesalloises
Vaud;Cheseaux-sur-Lausanne;Gremaullais, Gremaullaises
Vaud;Chessel;Chessellois, Chesselloises
Vaud;Chevroux;Chevrotins, Chevrotines
Vaud;Chexbres;Chexbriens, Chexbriennes
Fribourg;Cheyres;Etourneaux
Neuchâtel;Chézard-Saint-Martin;Gaguelets
Tessin;Chiasso;Chiassesi
Vaud;Chigny;Chigniacs, Chigniaques
Valais;Chippis;Chippillards, Chippillardes
Genève;Choulex;Choulésiens, Choulésiennes
Vaud;Clarmont;Clarmontais, Clarmontaises
Tessin;Claro;Claresi
Neuchâtel;Coffrane;Anons
Vaud;Coinsins;Coinsinnois, Coinsinnoises
Grisons;Coire;Coiriens, Coiriennes
Genève;Collex-Bossy;Collesiens, Collesiennes et Bossiotes
Valais;Collombey-Muraz;Collombeyrouds, Collombeyroudes
Genève;Collonge-Bellerive;Collongeois-Belleriviens, Collongeoises-Belleriviennes
Genève;Cologny;Colognotes
Neuchâtel;Colombier;Colombinois, Colombinoises
Vaud;Combremont-le-Grand;Combremontois, Combremontoises
Vaud;Commugny;Commugnans, Commugnanes
Vaud;Concise;Concisois, Concisoises
Genève;Confignon;Confignonnais, Confignonnaises
Valais;Conthey;Contheysans, Contheysannes
Vaud;Coppet;Copétans, Copétanes
Vaud;Corbeyrier;Corbeyrians, Corbeyriannes
Fribourg;Corbières;Corbeyrans, Corbeyrannes
Berne;Corcelles;Corcellois, Corcelloises
Neuchâtel;Corcelles-Cormondrèche;Casses-écuelles et Cormontants, Cormontantes
Vaud;Corcelles-le-Jorat;Corçallins, Corçallines
Vaud;Corcelles-près-Concise;Corcellois, Corcelloises
Vaud;Corcelles-près-Payerne;Corçallins, Corçallines
